ID,Item,UseCase,StartedProductionAt,ProductionCost,UpgradeCount,SalesScore,IsFragile,EmailOfManager,YearsOfProduction,LastQualityCheck,Madein
41,Item_41,Food,2025-10-15 21:41:13.135645,9,9,3.79,True,Manager_41@example.com,5,2026-05-31 21:41:13.136192,UK
42,Item_42,Electronics,2024-07-22 21:41:13.135648,33,6,3.52,,Manager_42@example.com,0,2025-12-08 21:41:13.136196,France
43,Item_43,Computer,2024-08-11 21:41:13.135651,3232,8,4.51,False,Manager_43@example.com,14,2025-08-28 21:41:13.136199,South Africa
44,Item_44,Tools,2023-10-05 21:41:13.135655,33,3,3.94,False,Manager_44@example.com,9,2025-07-21 21:41:13.136202,USA
45,Item_45,Supplements,2024-03-01 21:41:13.135658,10,3,4.21,True,Manager_45@example.com,18,2025-10-23 21:41:13.136206,China
46,Item_46,Toys,2025-05-28 21:41:13.135662,33,,2.13,False,Manager_46@example.com,16,2025-03-20 21:41:13.136209,Germany
47,Item_47,Kitchen,2024-08-03 21:41:13.135665,9,7,1.71,False,Manager_47@example.com,4,2025-03-23 21:41:13.136212,Ghana
48,Item_48,Computer,2024-10-06 21:41:13.135668,376,2,4,False,Manager_48@example.com,3,2025-07-26 21:41:13.136216,USA
49,Item_49,Electronics,2025-02-19 21:41:13.135672,10,6,4.23,False,Manager_49@example.com,9,2025-06-06 21:41:13.136219,USA
50,Item_50,Supplements,2025-10-16 21:41:13.135675,33,1,4.96,True,Manager_50@example.com,16,2025-03-09 21:41:13.136222,China
51,Item_51,Computer,2024-07-14 21:41:13.135678,9,1,2.65,True,Manager_51@example.com,9,2025-10-20 21:41:13.136226,South Africa
52,Item_52,Electronics,2026-02-13 21:41:13.135682,3232,6,2.49,,Manager_52@example.com,16,2025-05-25 21:41:13.136229,South Africa
53,Item_53,Packaging,2024-02-27 21:41:13.135685,33,5,4.11,False,Manager_53@example.com,19,2025-08-21 21:41:13.136232,UK
54,Item_54,Packaging,2025-01-25 21:41:13.135689,9,2,2.36,,Manager_54@example.com,4,2025-03-26 21:41:13.136236,Ghana
55,Item_55,Computer,2025-03-21 21:41:13.135692,,8,4.72,True,Manager_55@example.com,1,2026-01-07 21:41:13.136239,South Africa
56,Item_56,Packaging,2024-11-19 21:41:13.135696,800,9,4.43,True,Manager_56@example.com,5,2025-09-02 21:41:13.136242,France
57,Item_57,Electronics,2025-09-11 21:41:13.135702,,5,2.72,True,Manager_57@example.com,1,2025-11-20 21:41:13.136246,South Africa
58,Item_58,Electronics,2025-01-12 21:41:13.135705,12,9,4,True,Manager_58@example.com,12,2026-03-28 21:41:13.136249,USA
59,Item_59,Computer,2024-03-21 21:41:13.135709,800,9,4.02,True,Manager_59@example.com,10,2026-02-14 21:41:13.136253,China
60,Item_60,Supplements,2025-05-16 21:41:13.135712,12,5,1.41,True,Manager_60@example.com,10,2026-06-02 21:41:13.136256,France
61,Item_61,Tools,2025-05-15 21:41:13.135716,40,,4.61,True,Manager_61@example.com,15,2025-06-21 21:41:13.136259,UK
62,Item_62,,2026-02-13 21:41:13.135719,6,3,3.02,False,Manager_62@example.com,10,2025-07-10 21:41:13.136263,Ghana
63,Item_63,Supplements,2024-10-01 21:41:13.135722,,9,4.31,,Manager_63@example.com,18,2025-03-17 21:41:13.136266,UK
64,Item_64,Food,2024-09-19 21:41:13.135726,6,5,2.28,True,Manager_64@example.com,14,2025-07-23 21:41:13.136269,USA
65,Item_65,Electronics,2023-10-28 21:41:13.135729,6,5,4.58,False,Manager_65@example.com,15,2025-06-21 21:41:13.136273,France
66,Item_66,Food,2026-03-17 21:41:13.135733,3232,4,2.56,False,Manager_66@example.com,10,2026-03-03 21:41:13.136276,France
67,Item_67,Supplements,2024-07-07 21:41:13.135736,800,0,1.04,,Manager_67@example.com,15,2026-01-05 21:41:13.136280,France
68,Item_68,,2026-02-13 21:41:13.135740,40,7,4.62,True,Manager_68@example.com,7,2025-07-30 21:41:13.136283,USA
69,Item_69,,2026-06-04 21:41:13.135743,12,4,1.37,,Manager_69@example.com,3,2026-01-20 21:41:13.136286,USA
70,Item_70,Kitchen,2024-09-02 21:41:13.135746,9,4,2.28,True,Manager_70@example.com,7,2025-10-02 21:41:13.136290,UK
71,Item_71,,2025-10-29 21:41:13.135750,10,6,4.8,False,Manager_71@example.com,3,2025-05-15 21:41:13.136293,Germany
72,Item_72,Tools,2024-11-17 21:41:13.135753,9,3,4.8,False,Manager_72@example.com,2,2025-10-06 21:41:13.136296,UK
73,Item_73,,2024-02-02 21:41:13.135756,10,5,3.29,False,Manager_73@example.com,2,2026-05-06 21:41:13.136299,Ghana
74,Item_74,Supplements,2023-09-13 21:41:13.135760,,3,3.53,False,Manager_74@example.com,17,2026-04-27 21:41:13.136303,China
75,Item_75,Kitchen,2024-05-31 21:41:13.135763,34,2,2.79,,Manager_75@example.com,18,2025-10-20 21:41:13.136306,France
76,Item_76,Supplements,2025-10-24 21:41:13.135766,9,,2.17,True,Manager_76@example.com,18,2026-05-01 21:41:13.136309,Germany
77,Item_77,Supplements,2025-05-17 21:41:13.135770,33,7,2.31,True,Manager_77@example.com,4,2025-04-24 21:41:13.136313,China
78,Item_78,Toys,2025-04-29 21:41:13.135774,33,3,3.69,,Manager_78@example.com,17,2025-10-26 21:41:13.136316,Germany
79,Item_79,Kitchen,2024-09-06 21:41:13.135777,89,1,4.01,True,Manager_79@example.com,9,2026-05-31 21:41:13.136320,South Africa
80,Item_80,Supplements,2026-01-27 21:41:13.135781,800,9,4.17,False,Manager_80@example.com,5,2025-07-19 21:41:13.136323,South Africa
81,Item_81,Toys,2026-04-14 21:41:13.135784,10,2,4.16,True,Manager_81@example.com,0,2025-02-23 21:41:13.136326,Russia
82,Item_82,Toys,2024-07-22 21:41:13.135787,10,0,1.36,False,Manager_82@example.com,4,2025-10-29 21:41:13.136330,South Africa
83,Item_83,Kitchen,2024-06-06 21:41:13.135791,7,7,2.98,,Manager_83@example.com,8,2026-03-23 21:41:13.136333,UK
84,Item_84,Food,2024-08-03 21:41:13.135794,376,2,1.23,True,Manager_84@example.com,11,2026-06-02 21:41:13.136336,South Africa
85,Item_85,Tools,2024-06-26 21:41:13.135797,800,9,3.2,,Manager_85@example.com,13,2025-07-06 21:41:13.136339,USA
86,Item_86,,2025-04-16 21:41:13.135801,3232,6,2.77,True,Manager_86@example.com,1,2026-01-23 21:41:13.136343,France
87,Item_87,Tools,2025-10-02 21:41:13.135804,89,9,4.55,False,Manager_87@example.com,16,2026-02-08 21:41:13.136346,UK
88,Item_88,,2024-02-21 21:41:13.135807,3232,4,2.4,,Manager_88@example.com,13,2025-06-02 21:41:13.136349,China
89,Item_89,Supplements,2025-03-24 21:41:13.135811,,9,1.47,True,Manager_89@example.com,12,2026-03-04 21:41:13.136353,Russia
90,Item_90,Electronics,2025-11-15 21:41:13.135814,,4,1.57,False,Manager_90@example.com,8,2025-02-05 21:41:13.136356,Russia
91,Item_91,Kitchen,2025-12-04 21:41:13.135817,3232,,4.05,,Manager_91@example.com,14,2025-03-28 21:41:13.136359,Russia
92,Item_92,Tools,2026-02-03 21:41:13.135821,3232,8,3.47,,Manager_92@example.com,14,2026-04-05 21:41:13.136363,China
93,Item_93,Tools,2025-05-01 21:41:13.135824,40,4,1.4,True,Manager_93@example.com,10,2025-03-22 21:41:13.136366,China
94,Item_94,Supplements,2024-04-30 21:41:13.135828,800,0,1.34,True,Manager_94@example.com,15,2025-11-24 21:41:13.136370,China
95,Item_95,Food,2025-08-16 21:41:13.135831,3232,9,3.8,True,Manager_95@example.com,16,2025-07-06 21:41:13.136373,China
96,Item_96,Toys,2025-08-30 21:41:13.135834,33,9,1.29,False,Manager_96@example.com,3,2025-11-15 21:41:13.136376,Russia
97,Item_97,Supplements,2024-02-20 21:41:13.135838,376,0,4.29,True,Manager_97@example.com,0,2025-05-10 21:41:13.136380,Russia
98,Item_98,Packaging,2024-01-04 21:41:13.135841,376,1,3.82,,Manager_98@example.com,7,2026-05-11 21:41:13.136383,Germany
99,Item_99,Toys,2024-10-04 21:41:13.135844,6,5,1.33,,Manager_99@example.com,16,2025-03-28 21:41:13.136386,UK
100,Item_100,Kitchen,2025-11-20 21:41:13.135848,34,8,1.34,True,Manager_100@example.com,2,2025-12-15 21:41:13.136390,France
101,Item_101,Toys,2023-09-28 21:41:13.135851,,7,4.95,True,Manager_101@example.com,19,2025-08-10 21:41:13.136393,South Africa
102,Item_102,Food,2023-12-12 21:41:13.135855,10,4,2.5,,Manager_102@example.com,14,2026-01-24 21:41:13.136396,South Africa
103,Item_103,Toys,2025-01-11 21:41:13.135858,7,0,2.48,False,Manager_103@example.com,14,2025-07-15 21:41:13.136400,USA
104,Item_104,Kitchen,2024-05-15 21:41:13.135861,10,6,4.25,True,Manager_104@example.com,13,2025-04-22 21:41:13.136403,Russia
105,Item_105,Food,2026-01-13 21:41:13.135865,34,4,4.79,True,Manager_105@example.com,13,2026-02-08 21:41:13.136406,USA
106,Item_106,Tools,2024-10-05 21:41:13.135868,7,,4.94,,Manager_106@example.com,1,2025-07-17 21:41:13.136410,UK
107,Item_107,Tools,2025-11-17 21:41:13.135871,40,6,4.01,True,Manager_107@example.com,12,2025-09-04 21:41:13.136413,UK
108,Item_108,,2026-02-02 21:41:13.135875,800,2,2.51,False,Manager_108@example.com,13,2025-11-06 21:41:13.136418,USA
109,Item_109,Toys,2025-12-01 21:41:13.135878,9,9,1.33,,Manager_109@example.com,18,2025-10-24 21:41:13.136422,Russia
110,Item_110,Tools,2025-07-15 21:41:13.135881,800,2,4.11,True,Manager_110@example.com,6,2026-05-17 21:41:13.136425,USA
111,Item_111,Kitchen,2025-02-27 21:41:13.135885,10,4,3.23,,Manager_111@example.com,2,2026-02-13 21:41:13.136428,South Africa
112,Item_112,Computer,2025-06-22 21:41:13.135888,10,5,2.7,True,Manager_112@example.com,14,2026-01-17 21:41:13.136432,Germany
113,Item_113,Computer,2024-04-26 21:41:13.135891,7,8,4.63,True,Manager_113@example.com,13,2026-04-20 21:41:13.136435,South Africa
114,Item_114,Food,2024-08-15 21:41:13.135895,7,4,1.44,True,Manager_114@example.com,10,2026-06-05 21:41:13.136438,Ghana
115,Item_115,Tools,2024-05-03 21:41:13.135898,,0,2.97,False,Manager_115@example.com,14,2026-03-08 21:41:13.136441,Russia
116,Item_116,Tools,2023-10-25 21:41:13.135901,40,3,1.05,False,Manager_116@example.com,12,2026-01-15 21:41:13.136445,Russia
117,Item_117,Computer,2023-11-17 21:41:13.135905,,4,2.87,,Manager_117@example.com,17,2025-07-21 21:41:13.136448,France
118,Item_118,Tools,2025-04-29 21:41:13.135908,34,9,1.23,True,Manager_118@example.com,5,2026-04-29 21:41:13.136451,China
119,Item_119,Toys,2025-06-25 21:41:13.135912,3232,9,1.48,True,Manager_119@example.com,2,2025-08-17 21:41:13.136455,Ghana
120,Item_120,Packaging,2023-10-17 21:41:13.135915,800,4,1.47,False,Manager_120@example.com,18,2025-05-20 21:41:13.136458,UK
12,Item_12,Supplements,,376,2,3.63,False,Manager_12@example.com,7,2026-03-12 21:41:13.136093,France
13,Item_13,Toys,,7,1,1.65,True,Manager_13@example.com,6,2025-02-17 21:41:13.136097,Russia
100,Item_100,Kitchen,2025-11-20 21:41:13.135848,34,8,1.34,True,Manager_100@example.com,2,2025-12-15 21:41:13.136390,France
101,Item_101,Toys,2023-09-28 21:41:13.135851,,7,4.95,True,Manager_101@example.com,19,2025-08-10 21:41:13.136393,South Africa
102,Item_102,Food,2023-12-12 21:41:13.135855,10,4,2.5,,Manager_102@example.com,14,2026-01-24 21:41:13.136396,South Africa
75,Item_75,Kitchen,2024-05-31 21:41:13.135763,34,2,2.79,,Manager_75@example.com,18,2025-10-20 21:41:13.136306,France
76,Item_76,Supplements,2025-10-24 21:41:13.135766,9,,2.17,True,Manager_76@example.com,18,2026-05-01 21:41:13.136309,Germany
77,Item_77,Supplements,2025-05-17 21:41:13.135770,33,7,2.31,True,Manager_77@example.com,4,2025-04-24 21:41:13.136313,China
78,Item_78,Toys,2025-04-29 21:41:13.135774,33,3,3.69,,Manager_78@example.com,17,2025-10-26 21:41:13.136316,Germany
79,Item_79,Kitchen,2024-09-06 21:41:13.135777,89,1,4.01,True,Manager_79@example.com,9,2026-05-31 21:41:13.136320,South Africa
48,Item_48,Computer,2024-10-06 21:41:13.135668,376,2,4,False,Manager_48@example.com,3,2025-07-26 21:41:13.136216,
49,Item_49,Electronics,2025-02-19 21:41:13.135672,10,6,4.23,False,Manager_49@example.com,9,2025-06-06 21:41:13.136219,
50,Item_50,Supplements,2025-10-16 21:41:13.135675,33,1,4.96,True,Manager_50@example.com,16,2025-03-09 21:41:13.136222,
79,Item_79,Kitchen,2024-09-06 21:41:13.135777,89,,,,,,,
80,Item_80,Supplements,2026-01-27 21:41:13.135781,800,,,,,,,
81,Item_81,Toys,2026-04-14 21:41:13.135784,10,,,,,,,
82,Item_82,Toys,2024-07-22 21:41:13.135787,10,,,,,,,
83,Item_83,Kitchen,2024-06-06 21:41:13.135791,7,,,,,,,
114,Item_114,Food,2024-08-15 21:41:13.135895,7,4,1.44,True,Manager_114@example.com,10,,
115,Item_115,Tools,2024-05-03 21:41:13.135898,,0,2.97,False,Manager_115@example.com,14,,
116,Item_116,Tools,2023-10-25 21:41:13.135901,40,3,1.05,False,Manager_116@example.com,12,,
117,Item_117,Computer,2023-11-17 21:41:13.135905,,4,2.87,,Manager_117@example.com,17,,
118,Item_118,Tools,2025-04-29 21:41:13.135908,34,9,1.23,True,Manager_118@example.com,5,,
