record_id,date,industry,region,city,customer_type,customer_age,acquisition_channel,product_or_service,quantity,unit_price_ghs,discount_rate,revenue_ghs,cost_ghs,profit_ghs,customer_satisfaction,returned,payment_status
REC-00029,2025-08-11,Healthcare,Greater Accra,Tema,SME,56,Walk-in,Basic Plan,6,1828.15,0.05,10420.46,6371.75,4048.71,4,False,Refunded
REC-00030,2025-12-10,Technology,Central,Kasoa,Individual,61,Walk-in,Support Package,4,926.45,0.0,3705.8,2968.66,737.14,3,False,Paid
REC-00031,2025-06-01,Manufacturing,Western,Takoradi,Enterprise,62,Phone,Support Package,9,340.04,0.1,2754.32,1917.07,837.25,1,False,Paid
REC-00032,2025-10-24,Education,Ashanti,Obuasi,SME,45,Website,Enterprise Plan,10,1645.4,0.1,14808.6,9084.5,5724.1,5,True,Paid
REC-00033,2025-12-11,Retail,Greater Accra,Accra,Government,33,Referral,Basic Plan,5,580.99,0.0,2904.95,1465.61,1439.34,4,False,Refunded
REC-00034,2025-12-23,Retail,Ashanti,Kumasi,Government,63,Mobile App,Premium Plan,7,1248.58,0.0,8740.06,4410.25,4329.81,5,False,Paid
REC-00035,2025-03-04,Technology,Central,Kasoa,Government,33,Referral,Consulting Service,8,355.01,0.1,2556.07,1781.59,774.48,2,False,Pending
REC-00036,2025-11-23,Education,Eastern,Nkawkaw,Government,33,Website,Training Package,5,1920.39,0.15,8161.66,5136.14,3025.52,3,False,Paid
REC-00037,2025-10-04,Finance,Eastern,Koforidua,Individual,38,Phone,Consulting Service,2,367.48,0.0,734.96,434.89,300.07,3,True,Pending
REC-00038,2025-04-16,Retail,Western,Tarkwa,Government,21,Website,Enterprise Plan,7,988.96,0.15,5884.31,4707.7,1176.61,3,False,Pending
REC-00039,2025-10-07,Manufacturing,Central,Kasoa,Individual,65,Phone,Enterprise Plan,10,2247.08,0.1,20223.72,10742.56,9481.16,4,False,Pending
REC-00040,2025-10-01,Retail,Ashanti,Kumasi,Government,57,Mobile App,Consulting Service,1,2269.65,0.15,1929.2,1271.01,658.19,2,False,Paid
REC-00041,2025-04-19,Manufacturing,Western,Tarkwa,Individual,38,Phone,Basic Plan,8,833.94,0.1,6004.37,3320.15,2684.22,5,False,Paid
REC-00042,2025-02-05,Education,Ashanti,Kumasi,SME,59,Mobile App,Premium Plan,11,124.64,0.0,1371.04,1098.69,272.35,4,False,Refunded
REC-00043,2025-12-25,Healthcare,Ashanti,Kumasi,Enterprise,47,Website,Support Package,5,1923.07,0.0,9615.35,6482.48,3132.87,1,False,Refunded
REC-00044,2025-07-23,Education,Northern,Tamale,Enterprise,42,Referral,Basic Plan,12,515.87,0.15,5261.87,3712.39,1549.48,5,False,Paid
REC-00045,2025-12-05,Manufacturing,Central,Kasoa,Individual,45,Phone,Enterprise Plan,6,195.67,0.05,1115.32,507.12,608.2,4,False,Pending
REC-00046,2025-09-25,Agriculture,Ashanti,Obuasi,Enterprise,64,Walk-in,Premium Plan,11,693.45,0.15,6483.76,4776.05,1707.71,1,False,Pending
REC-00047,2025-10-19,Technology,Ashanti,Kumasi,Government,47,Mobile App,Enterprise Plan,10,1678.77,0.05,15948.32,7346.1,8602.22,3,False,Paid
REC-00048,2025-05-22,Manufacturing,Central,Kasoa,SME,62,Phone,Training Package,9,50.12,0.0,451.08,217.27,233.81,4,False,Paid
REC-00049,2025-04-24,Technology,Greater Accra,Tema,Enterprise,36,Phone,Training Package,7,1737.17,0.05,11552.18,8036.45,3515.73,5,False,Paid
REC-00050,2025-05-19,Technology,Northern,Tamale,SME,47,Mobile App,Premium Plan,5,647.22,0.0,3236.1,2319.88,916.22,4,False,Refunded
REC-00051,2025-05-25,Finance,Central,Kasoa,Individual,56,Referral,Premium Plan,2,2085.76,0.05,3962.94,2116.88,1846.06,3,False,Paid
REC-00052,2025-12-24,Retail,Central,Kasoa,Government,36,Phone,Consulting Service,3,1603.73,0.1,4330.07,2112.89,2217.18,3,False,Paid
REC-00053,2025-02-28,Retail,Eastern,Koforidua,SME,48,Referral,Enterprise Plan,2,1016.75,0.0,2033.5,1349.22,684.28,1,False,Paid
REC-00054,2025-11-07,Manufacturing,Central,Kasoa,Government,44,Walk-in,Support Package,10,1982.08,0.0,19820.8,14608.06,5212.74,4,False,Refunded
REC-00055,2025-11-09,Hospitality,Central,Cape Coast,SME,21,Mobile App,Premium Plan,12,270.6,0.0,3247.2,2212.77,1034.43,5,False,Paid
REC-00056,2025-08-19,Hospitality,Greater Accra,Tema,Government,44,Website,Training Package,12,1494.68,0.05,17039.35,7873.49,9165.86,2,False,Refunded
REC-00057,2025-08-06,Finance,Northern,Tamale,Individual,30,Mobile App,Enterprise Plan,2,1372.79,0.0,2745.58,2158.33,587.25,5,True,Paid
REC-00058,2025-08-28,Agriculture,Western,Tarkwa,Individual,25,Referral,Basic Plan,12,777.63,0.1,8398.4,6708.56,1689.84,4,False,Refunded
REC-00059,2025-02-16,Retail,Eastern,Nkawkaw,Individual,19,Mobile App,Consulting Service,4,2405.73,0.15,8179.48,5457.64,2721.84,5,False,Paid
REC-00060,2025-08-12,Manufacturing,Ashanti,Obuasi,Enterprise,55,Website,Premium Plan,11,2040.26,0.0,22442.86,14002.19,8440.67,3,False,Pending
REC-00061,2025-07-25,Technology,Eastern,Koforidua,Government,60,Referral,Basic Plan,9,115.83,0.0,1042.47,590.43,452.04,5,False,Pending
REC-00062,2025-09-23,Retail,Greater Accra,Accra,Enterprise,30,Referral,Premium Plan,6,1566.02,0.1,8456.51,5762.28,2694.23,3,False,Pending
REC-00063,2025-11-19,Retail,Greater Accra,Tema,Individual,19,Mobile App,Basic Plan,10,2003.3,0.0,20033.0,11318.2,8714.8,4,False,Paid
REC-00064,2025-05-30,Agriculture,Western,Takoradi,Government,63,Referral,Premium Plan,9,1770.89,0.1,14344.21,10885.07,3459.14,4,False,Refunded
REC-00065,2025-03-11,Hospitality,Central,Cape Coast,Enterprise,65,Walk-in,Support Package,2,708.71,0.1,1275.68,734.48,541.2,5,False,Paid
REC-00066,2025-09-05,Technology,Western,Takoradi,SME,52,Referral,Consulting Service,6,847.79,0.15,4323.73,2549.13,1774.6,2,False,Paid
REC-00067,2025-08-31,Finance,Eastern,Nkawkaw,Individual,65,Mobile App,Support Package,12,2285.74,0.1,24685.99,14635.07,10050.92,5,False,Paid
REC-00068,2025-09-27,Finance,Western,Takoradi,Government,24,Walk-in,Enterprise Plan,8,62.99,0.0,503.92,303.2,200.72,5,False,Paid
REC-00069,2025-10-01,Retail,Eastern,Koforidua,SME,61,Walk-in,Premium Plan,7,2386.5,0.1,15034.95,11618.73,3416.22,1,False,Paid
REC-00070,2025-02-21,Retail,Northern,Yendi,Individual,63,Walk-in,Enterprise Plan,8,436.75,0.05,3319.3,2603.22,716.08,3,False,Paid
REC-00071,2025-07-30,Healthcare,Ashanti,Obuasi,SME,51,Phone,Support Package,10,1712.46,0.0,17124.6,8783.1,8341.5,2,False,Pending
REC-00072,2025-08-24,Finance,Northern,Tamale,Government,34,Walk-in,Support Package,5,1675.43,0.1,7539.43,5906.75,1632.68,3,False,Paid
REC-00073,2025-04-12,Technology,Western,Tarkwa,Enterprise,37,Website,Training Package,7,2137.01,0.0,14959.07,8044.48,6914.59,4,False,Paid
REC-00074,2025-01-26,Education,Central,Kasoa,SME,61,Mobile App,Support Package,10,1869.3,0.05,17758.35,13088.33,4670.02,3,False,Paid
REC-00075,2025-01-21,Finance,Northern,Tamale,Enterprise,59,Walk-in,Training Package,5,1976.81,0.0,9884.05,6567.38,3316.67,4,False,Paid
REC-00076,2025-07-07,Hospitality,Ashanti,Obuasi,Enterprise,52,Walk-in,Basic Plan,9,1266.94,0.05,10832.34,8203.06,2629.28,4,False,Paid
REC-00077,2025-12-12,Manufacturing,Ashanti,Kumasi,Enterprise,61,Referral,Basic Plan,7,2418.99,0.15,14392.99,8424.75,5968.24,4,False,Paid
REC-00078,2025-11-23,Technology,Central,Cape Coast,Individual,42,Phone,Training Package,6,293.16,0.0,1758.96,1098.38,660.58,3,False,Paid
REC-00079,2025-01-20,Finance,Ashanti,Obuasi,Government,20,Walk-in,Training Package,5,2489.92,0.0,12449.6,6050.02,6399.58,5,False,Refunded
REC-00080,2025-03-21,Hospitality,Northern,Tamale,Enterprise,64,Mobile App,Consulting Service,7,1645.93,0.1,10369.36,7028.26,3341.1,4,False,Paid
REC-00081,2025-07-08,Hospitality,Greater Accra,Accra,Individual,61,Phone,Basic Plan,9,2256.7,0.05,19294.78,9114.92,10179.86,2,True,Paid
REC-00082,2025-05-05,Education,Greater Accra,Accra,SME,39,Walk-in,Premium Plan,3,1972.77,0.0,5918.31,2813.48,3104.83,5,False,Paid
REC-00083,2025-10-04,Retail,Ashanti,Kumasi,Individual,26,Walk-in,Premium Plan,5,2001.32,0.0,10006.6,6950.5,3056.1,5,False,Paid
REC-00084,2025-01-27,Healthcare,Ashanti,Obuasi,Government,34,Walk-in,Support Package,3,1860.75,0.15,4744.91,2334.73,2410.18,5,False,Pending
REC-00085,2025-11-11,Retail,Central,Cape Coast,Government,32,Phone,Consulting Service,1,1824.93,0.15,1551.19,871.15,680.04,1,False,Pending
REC-00086,2025-06-14,Technology,Greater Accra,Tema,Enterprise,23,Phone,Support Package,10,392.13,0.0,3921.3,2163.6,1757.7,5,False,Paid
REC-00087,2025-12-02,Education,Northern,Yendi,Government,25,Mobile App,Consulting Service,11,2197.32,0.15,20544.94,14724.78,5820.16,3,False,Pending
REC-00088,2025-02-18,Finance,Western,Tarkwa,Individual,64,Website,Basic Plan,6,1081.24,0.05,6163.07,3626.91,2536.16,1,False,Paid
REC-00089,2025-07-10,Technology,Northern,Tamale,Government,65,Walk-in,Training Package,3,1402.02,0.15,3575.15,2874.25,700.9,4,False,Paid
REC-00090,2025-06-30,Agriculture,Central,Cape Coast,Individual,37,Walk-in,Support Package,2,1455.35,0.0,2910.7,1476.45,1434.25,3,False,Paid
REC-00091,2025-08-08,Retail,Central,Kasoa,Individual,32,Mobile App,Enterprise Plan,9,2437.0,0.15,18643.05,12621.76,6021.29,3,False,Paid
REC-00092,2025-03-15,Retail,Greater Accra,Accra,SME,29,Phone,Consulting Service,10,1651.93,0.0,16519.3,8300.84,8218.46,4,False,Paid
REC-00093,2025-06-16,Retail,Eastern,Koforidua,Enterprise,37,Phone,Training Package,10,1500.65,0.0,15006.5,7616.77,7389.73,4,False,Refunded
REC-00094,2025-05-20,Healthcare,Western,Tarkwa,Government,44,Referral,Training Package,4,1893.48,0.0,7573.92,4375.56,3198.36,3,False,Paid
REC-00095,2025-01-29,Hospitality,Western,Tarkwa,Enterprise,56,Website,Basic Plan,1,530.95,0.0,530.95,389.67,141.28,4,False,Paid
REC-00096,2025-09-30,Technology,Ashanti,Kumasi,Government,42,Website,Consulting Service,12,594.52,0.15,6064.1,4598.66,1465.44,1,False,Paid
REC-00097,2025-08-08,Manufacturing,Eastern,Koforidua,Enterprise,54,Mobile App,Support Package,10,1025.95,0.1,9233.55,5144.2,4089.35,4,False,Paid
REC-00098,2025-05-05,Hospitality,Western,Tarkwa,SME,24,Walk-in,Premium Plan,7,1482.46,0.15,8820.64,4225.96,4594.68,1,True,Paid
REC-00099,2025-04-10,Finance,Central,Kasoa,SME,50,Mobile App,Support Package,6,893.97,0.0,5363.82,2882.62,2481.2,2,False,Paid
REC-00100,2025-08-26,Technology,Northern,Yendi,SME,49,Phone,Basic Plan,10,1905.7,0.1,17151.3,12040.55,5110.75,4,False,Paid
REC-00101,2025-01-29,Retail,Eastern,Koforidua,Enterprise,55,Walk-in,Basic Plan,6,1280.66,0.05,7299.76,4532.02,2767.74,1,True,Refunded
REC-00102,2025-08-25,Education,Central,Kasoa,Government,42,Referral,Premium Plan,10,1396.93,0.0,13969.3,8610.7,5358.6,1,False,Paid
REC-00103,2025-02-13,Agriculture,Eastern,Nkawkaw,SME,63,Walk-in,Enterprise Plan,9,1624.16,0.0,14617.44,7917.76,6699.68,3,False,Pending
REC-00104,2025-11-03,Healthcare,Eastern,Nkawkaw,Enterprise,61,Walk-in,Training Package,1,1978.34,0.05,1879.42,891.57,987.85,5,False,Paid
REC-00105,2025-12-06,Manufacturing,Greater Accra,Accra,Individual,55,Walk-in,Support Package,3,2293.95,0.05,6537.76,5282.82,1254.94,4,False,Paid
REC-00106,2025-12-17,Retail,Northern,Yendi,Enterprise,62,Mobile App,Premium Plan,9,256.3,0.1,2076.03,1324.8,751.23,3,False,Paid
REC-00107,2025-03-21,Retail,Ashanti,Obuasi,SME,26,Referral,Consulting Service,2,757.09,0.0,1514.18,965.81,548.37,2,False,Paid
REC-00108,2025-03-26,Education,Northern,Yendi,Enterprise,57,Phone,Premium Plan,12,1108.24,0.1,11968.99,6999.36,4969.63,5,False,Paid
REC-00109,2025-07-08,Hospitality,Western,Tarkwa,Government,30,Mobile App,Premium Plan,11,2369.15,0.1,23454.59,14561.12,8893.47,5,False,Paid
REC-00110,2025-09-04,Healthcare,Greater Accra,Tema,Individual,59,Mobile App,Enterprise Plan,6,1397.49,0.0,8384.94,5980.29,2404.65,4,True,Paid
REC-00111,2025-04-24,Manufacturing,Western,Tarkwa,SME,23,Phone,Basic Plan,8,2214.46,0.0,17715.68,10691.62,7024.06,3,False,Paid
REC-00112,2025-11-29,Agriculture,Eastern,Koforidua,Government,24,Phone,Support Package,6,1983.67,0.0,11902.02,5524.59,6377.43,1,False,Paid
REC-00113,2025-03-18,Healthcare,Eastern,Nkawkaw,SME,31,Walk-in,Basic Plan,9,2352.06,0.15,17993.26,11610.61,6382.65,1,False,Pending
REC-00114,2025-08-23,Retail,Northern,Tamale,SME,57,Walk-in,Consulting Service,2,299.37,0.1,538.87,361.47,177.4,1,True,Paid
REC-00115,2025-08-02,Technology,Ashanti,Kumasi,Individual,54,Phone,Consulting Service,3,1669.32,0.0,5007.96,3223.57,1784.39,1,False,Paid
REC-00116,2025-01-09,Healthcare,Eastern,Nkawkaw,SME,65,Website,Enterprise Plan,6,1976.59,0.05,11266.56,6075.12,5191.44,5,False,Paid
REC-00117,2025-12-23,Agriculture,Northern,Tamale,Enterprise,47,Mobile App,Basic Plan,8,1588.55,0.0,12708.4,6015.49,6692.91,2,False,Paid
REC-00118,2025-07-23,Education,Eastern,Nkawkaw,Enterprise,50,Website,Training Package,9,1196.66,0.0,10769.94,7848.25,2921.69,3,False,Paid
REC-00119,2025-07-24,Finance,Eastern,Nkawkaw,Government,45,Walk-in,Support Package,12,1113.35,0.1,12024.18,6919.24,5104.94,3,False,Pending
REC-00120,2025-11-05,Technology,Greater Accra,Tema,Enterprise,45,Phone,Support Package,3,1375.05,0.05,3918.89,1912.27,2006.62,4,False,Pending
REC-00121,2025-01-22,Manufacturing,Eastern,Nkawkaw,Individual,46,Website,Training Package,12,2178.34,0.05,24833.08,16824.29,8008.79,4,False,Refunded
REC-00122,2025-03-23,Agriculture,Northern,Tamale,SME,61,Website,Premium Plan,1,378.38,0.15,321.62,225.42,96.2,3,False,Pending
REC-00123,2025-11-06,Healthcare,Central,Cape Coast,Enterprise,20,Phone,Enterprise Plan,3,1705.68,0.05,4861.19,2856.65,2004.54,3,False,Paid
REC-00124,2025-04-06,Hospitality,Greater Accra,Tema,SME,65,Referral,Enterprise Plan,8,1306.42,0.15,8883.66,4384.72,4498.94,4,False,Paid
REC-00125,2025-08-20,Technology,Ashanti,Obuasi,Individual,22,Referral,Support Package,3,2249.23,0.1,6072.92,4973.64,1099.28,3,False,Paid
REC-00126,2025-12-25,Healthcare,Northern,Tamale,SME,63,Mobile App,Consulting Service,11,455.88,0.05,4763.95,3040.54,1723.41,1,False,Refunded
REC-00127,2025-08-28,Manufacturing,Central,Kasoa,Government,41,Phone,Support Package,9,346.18,0.0,3115.62,1477.82,1637.8,1,False,Paid
REC-00128,2025-08-19,Finance,Northern,Tamale,Government,22,Referral,Basic Plan,8,1708.27,0.05,12982.85,6458.76,6524.09,1,True,Paid
REC-00129,2025-03-24,Hospitality,Eastern,Koforidua,Enterprise,28,Mobile App,Training Package,6,2338.48,0.0,14030.88,8110.25,5920.63,5,False,Paid
REC-00130,2025-11-11,Finance,Northern,Tamale,Enterprise,37,Referral,Basic Plan,9,256.24,0.0,2306.16,1542.75,763.41,1,False,Paid
REC-00131,2025-05-16,Retail,Northern,Yendi,Enterprise,54,Walk-in,Consulting Service,11,546.75,0.15,5112.11,3088.42,2023.69,2,False,Paid
REC-00132,2025-12-19,Education,Western,Tarkwa,SME,22,Walk-in,Training Package,1,416.25,0.1,374.62,235.7,138.92,3,False,Pending
REC-00133,2025-09-21,Hospitality,Ashanti,Obuasi,SME,41,Mobile App,Basic Plan,9,287.81,0.0,2590.29,1612.7,977.59,1,False,Pending
REC-00134,2025-05-08,Education,Central,Cape Coast,Government,44,Referral,Consulting Service,3,2038.36,0.15,5197.82,3725.89,1471.93,4,False,Pending
REC-00135,2025-07-21,Technology,Greater Accra,Accra,Individual,23,Walk-in,Consulting Service,9,1156.65,0.0,10409.85,5513.09,4896.76,5,False,Paid
REC-00136,2025-02-25,Manufacturing,Central,Kasoa,Individual,18,Phone,Basic Plan,7,356.49,0.05,2370.66,1704.93,665.73,5,True,Paid
REC-00137,2025-05-28,Hospitality,Eastern,Koforidua,SME,53,Website,Consulting Service,2,981.21,0.1,1766.18,1294.31,471.87,3,False,Refunded
REC-00138,2025-04-12,Retail,Eastern,Koforidua,Enterprise,27,Phone,Support Package,10,1285.08,0.15,10923.18,5078.12,5845.06,4,False,Refunded
REC-00139,2025-06-17,Hospitality,Central,Kasoa,Government,26,Referral,Enterprise Plan,10,813.36,0.1,7320.24,5977.18,1343.06,4,False,Paid
REC-00140,2025-02-26,Hospitality,Eastern,Koforidua,Individual,61,Referral,Consulting Service,7,1469.66,0.0,10287.62,6901.52,3386.1,2,True,Refunded
REC-00141,2025-12-15,Agriculture,Western,Tarkwa,Government,27,Mobile App,Consulting Service,4,103.14,0.0,412.56,214.77,197.79,2,False,Refunded
REC-00142,2025-02-01,Agriculture,Central,Kasoa,Enterprise,48,Mobile App,Consulting Service,12,366.75,0.0,4401.0,2893.78,1507.22,5,False,Refunded
REC-00143,2025-12-15,Education,Eastern,Koforidua,Enterprise,61,Referral,Enterprise Plan,11,2014.04,0.05,21046.72,14221.87,6824.85,2,False,Paid
REC-00144,2025-12-20,Hospitality,Northern,Yendi,Individual,31,Referral,Training Package,12,1235.28,0.1,13341.02,7725.21,5615.81,5,False,Pending
REC-00145,2025-05-29,Agriculture,Eastern,Nkawkaw,Government,27,Mobile App,Premium Plan,1,736.89,0.0,736.89,426.04,310.85,5,False,Refunded
REC-00146,2025-03-12,Retail,Northern,Tamale,SME,35,Website,Basic Plan,2,1548.8,0.15,2632.96,1417.94,1215.02,4,False,Pending
REC-00147,2025-03-12,Agriculture,Greater Accra,Tema,SME,61,Walk-in,Enterprise Plan,1,2412.18,0.0,2412.18,1448.65,963.53,3,False,Paid
REC-00148,2025-04-29,Finance,Northern,Yendi,SME,54,Website,Consulting Service,9,1853.25,0.0,16679.25,13141.5,3537.75,4,False,Paid
REC-00149,2025-06-02,Agriculture,Greater Accra,Accra,Government,18,Walk-in,Premium Plan,10,1516.89,0.05,14410.45,8001.95,6408.5,1,False,Paid
REC-00150,2025-11-28,Hospitality,Northern,Tamale,SME,47,Referral,Training Package,5,1803.53,0.0,9017.65,6515.69,2501.96,4,False,Refunded
REC-00151,2025-07-25,Education,Eastern,Koforidua,Enterprise,23,Phone,Premium Plan,11,261.08,0.0,2871.88,1799.69,1072.19,4,False,Paid
REC-00152,2025-10-21,Retail,Eastern,Koforidua,Government,55,Walk-in,Premium Plan,1,672.34,0.05,638.72,451.14,187.58,4,True,Paid
REC-00153,2025-11-24,Finance,Northern,Yendi,SME,25,Phone,Training Package,5,934.67,0.0,4673.35,2481.91,2191.44,5,False,Pending
REC-00154,2025-08-30,Healthcare,Northern,Yendi,Enterprise,53,Website,Support Package,9,2009.94,0.0,18089.46,13239.46,4850.0,1,False,Refunded
REC-00155,2025-10-21,Agriculture,Central,Cape Coast,SME,30,Referral,Consulting Service,9,395.88,0.05,3384.77,2593.27,791.5,1,True,Pending
REC-00156,2025-03-09,Agriculture,Greater Accra,Tema,Individual,47,Phone,Enterprise Plan,9,1053.18,0.15,8056.83,3797.69,4259.14,1,False,Refunded
REC-00157,2025-08-05,Healthcare,Greater Accra,Tema,Individual,20,Walk-in,Consulting Service,6,1758.45,0.15,8968.1,7334.34,1633.76,2,False,Pending
REC-00158,2025-08-18,Technology,Eastern,Koforidua,SME,42,Referral,Consulting Service,7,954.72,0.15,5680.58,2835.78,2844.8,5,False,Paid
REC-00159,2025-06-02,Manufacturing,Greater Accra,Accra,SME,19,Phone,Enterprise Plan,8,1691.91,0.15,11504.99,6982.69,4522.3,2,False,Paid
REC-00160,2025-01-17,Healthcare,Northern,Tamale,Individual,25,Phone,Support Package,11,1062.62,0.0,11688.82,6300.82,5388.0,1,False,Paid
REC-00161,2025-04-30,Hospitality,Western,Takoradi,Enterprise,46,Referral,Support Package,9,562.74,0.0,5064.66,2541.7,2522.96,3,False,Paid
REC-00162,2025-09-24,Finance,Ashanti,Obuasi,Government,60,Website,Enterprise Plan,4,1048.56,0.05,3984.53,1882.91,2101.62,4,True,Paid
REC-00163,2025-07-29,Agriculture,Northern,Tamale,SME,44,Walk-in,Training Package,3,767.22,0.0,2301.66,1678.22,623.44,2,False,Paid
REC-00164,2025-08-02,Education,Central,Kasoa,Individual,44,Phone,Enterprise Plan,9,1336.73,0.1,10827.51,5845.31,4982.2,1,True,Paid
REC-00165,2025-07-13,Education,Greater Accra,Accra,Government,35,Mobile App,Enterprise Plan,11,1522.3,0.0,16745.3,12948.13,3797.17,3,False,Paid
REC-00166,2025-03-02,Education,Ashanti,Obuasi,SME,65,Referral,Enterprise Plan,12,2498.94,0.1,26988.55,21276.24,5712.31,3,False,Pending
REC-00167,2025-07-03,Agriculture,Central,Cape Coast,Government,59,Walk-in,Premium Plan,5,672.37,0.15,2857.57,2219.3,638.27,3,False,Pending
REC-00168,2025-04-24,Manufacturing,Greater Accra,Tema,SME,54,Mobile App,Enterprise Plan,12,386.16,0.05,4402.22,2882.24,1519.98,2,False,Refunded
REC-00169,2025-10-09,Agriculture,Ashanti,Obuasi,Government,49,Mobile App,Training Package,11,2360.07,0.05,24662.73,13446.39,11216.34,3,False,Paid
REC-00170,2025-09-08,Retail,Northern,Tamale,Individual,52,Website,Basic Plan,3,2294.33,0.15,5850.54,4776.5,1074.04,4,False,Paid
REC-00171,2025-03-19,Agriculture,Greater Accra,Tema,Individual,63,Website,Support Package,1,566.33,0.1,509.7,299.75,209.95,5,False,Paid
REC-00172,2025-05-21,Manufacturing,Greater Accra,Accra,Individual,51,Website,Support Package,9,2444.26,0.0,21998.34,13986.98,8011.36,2,False,Paid
REC-00173,2025-05-10,Manufacturing,Central,Kasoa,SME,51,Mobile App,Enterprise Plan,6,686.63,0.1,3707.8,1776.92,1930.88,1,False,Paid
REC-00174,2025-07-13,Healthcare,Western,Tarkwa,Government,42,Walk-in,Support Package,9,1203.11,0.0,10827.99,7688.44,3139.55,1,True,Paid
