Date,Ticker,Company,Sector,Open,High,Low,Close,Adj_Close,Volume,Daily_Return_Pct,Market_Cap_BUSD,PE_Ratio,Dividend_Yield_Pct,Beta_5Y,RSI_14D,Sentiment_Score,ESG_Score,Analyst_Signal
2023-01-05,TSLA,Tesla Inc.,Consumer Discretionary,255.19,259.24,248.58,258.73,254.85,8465504,1.081,780,72.3,0.0,0.83,52.53,0.66,62,HOLD
2023-01-05,XOM,Exxon Mobil Corp.,Energy,105.0,107.13,103.37,106.5,104.9,3758061,0.841,440,12.2,3.65,0.52,51.07,0.347,58,HOLD
2023-01-06,AAPL,Apple Inc.,Technology,172.95,173.4,169.31,170.28,167.73,6424567,-1.04,2800,29.5,0.55,1.1,44.53,0.521,78,BUY
2023-01-06,AMZN,Amazon.com Inc.,Consumer Discretionary,142.77,144.8,137.55,138.92,136.84,15139757,-1.927,1850,42.0,0.0,0.89,50.08,0.619,65,HOLD
2023-01-06,BAC,Bank of America Corp.,Financials,30.85,31.78,30.3,31.62,31.15,4948091,1.932,270,10.4,2.9,1.05,55.88,0.356,69,HOLD
2023-01-06,JNJ,Johnson & Johnson,Healthcare,162.27,164.3,159.88,163.83,161.38,4689135,0.482,410,15.6,3.1,0.95,45.73,0.371,82,HOLD
2023-01-06,JPM,JPMorgan Chase & Co.,Financials,158.79,161.99,157.81,161.53,159.1,4824113,0.922,540,11.8,2.45,0.88,56.67,0.535,71,HOLD
2023-01-06,MSFT,Microsoft Corp.,Technology,336.93,337.92,332.8,334.69,329.67,4423429,-0.862,2600,33.2,0.72,0.99,52.22,0.437,85,HOLD
2023-01-06,NVDA,NVIDIA Corp.,Technology,452.22,459.77,424.1,427.78,421.36,12494199,-4.843,2100,65.4,0.08,1.32,38.71,0.687,74,BUY
2023-01-06,PFE,Pfizer Inc.,Healthcare,29.38,29.61,29.34,29.54,29.1,4056166,0.709,170,14.1,5.4,0.81,46.83,0.173,80,HOLD
2023-01-06,TSLA,Tesla Inc.,Consumer Discretionary,259.18,268.16,257.76,267.74,263.73,9292645,3.481,780,72.3,0.0,0.74,58.99,0.573,62,HOLD
2023-01-06,XOM,Exxon Mobil Corp.,Energy,106.52,106.6,105.4,106.4,104.81,3133414,-0.09,440,12.2,3.65,0.96,35.98,0.625,58,BUY
2023-01-09,AAPL,Apple Inc.,Technology,169.16,173.19,166.17,172.87,170.28,5351348,1.521,2800,29.5,0.55,1.13,62.34,0.585,78,HOLD
2023-01-09,AMZN,Amazon.com Inc.,Consumer Discretionary,138.86,141.39,137.17,141.37,139.25,8951072,1.76,1850,42.0,0.0,0.7,57.37,0.413,65,HOLD
2023-01-09,BAC,Bank of America Corp.,Financials,31.84,32.0,30.74,30.98,30.51,6203227,-2.029,270,10.4,2.9,0.71,31.05,0.632,69,BUY
2023-01-09,JNJ,Johnson & Johnson,Healthcare,163.94,164.65,162.26,162.44,160.0,4954440,-0.851,410,15.6,3.1,1.18,34.83,0.723,82,BUY
2023-01-09,JPM,JPMorgan Chase & Co.,Financials,161.77,162.12,158.1,160.21,157.81,6821385,-0.812,540,11.8,2.45,0.68,46.44,0.782,71,HOLD
2023-01-09,MSFT,Microsoft Corp.,Technology,336.6,339.73,332.61,337.16,332.11,424510,0.739,2600,33.2,0.72,1.07,32.86,0.718,85,BUY
2023-01-09,NVDA,NVIDIA Corp.,Technology,421.35,433.39,419.58,432.73,426.24,12376999,1.159,2100,65.4,0.08,1.21,47.39,0.496,74,HOLD
2023-01-09,PFE,Pfizer Inc.,Healthcare,29.61,29.9,28.99,29.25,28.81,2240808,-0.994,170,14.1,5.4,0.94,47.55,0.782,80,HOLD
2023-01-09,TSLA,Tesla Inc.,Consumer Discretionary,266.15,272.26,247.1,249.05,245.31,6104275,-6.983,780,72.3,0.0,0.78,49.39,0.628,62,HOLD
2023-01-09,XOM,Exxon Mobil Corp.,Energy,106.22,106.52,105.42,106.05,104.46,4116683,-0.33,440,12.2,3.65,0.86,47.36,0.49,58,HOLD
2023-01-10,AAPL,Apple Inc.,Technology,171.39,172.58,168.98,169.8,167.25,5286626,-1.776,2800,29.5,0.55,1.12,36.17,0.391,78,BUY
2023-01-10,AMZN,Amazon.com Inc.,Consumer Discretionary,141.64,145.28,140.53,144.72,142.55,5341128,2.369,1850,42.0,0.0,0.82,41.82,0.476,65,BUY
2023-01-10,BAC,Bank of America Corp.,Financials,31.07,32.26,30.81,32.05,31.57,4397679,3.463,270,10.4,2.9,0.82,40.5,0.596,69,BUY
2023-01-10,JNJ,Johnson & Johnson,Healthcare,162.76,162.88,161.87,162.5,160.07,877551,0.039,410,15.6,3.1,0.61,52.85,0.889,82,HOLD
2023-01-10,JPM,JPMorgan Chase & Co.,Financials,160.3,161.88,159.87,160.45,158.04,5562744,0.148,540,11.8,2.45,1.23,48.51,0.821,71,HOLD
2023-01-10,MSFT,Microsoft Corp.,Technology,336.65,346.23,334.6,343.82,338.66,3958153,1.972,2600,33.2,0.72,1.1,46.52,0.519,85,HOLD
2023-01-10,NVDA,NVIDIA Corp.,Technology,435.41,440.34,425.56,426.41,420.02,14064895,-1.461,2100,65.4,0.08,1.15,57.16,0.404,74,HOLD
2023-01-10,PFE,Pfizer Inc.,Healthcare,29.19,29.52,29.02,29.09,28.66,2131764,-0.536,170,14.1,5.4,0.84,64.74,0.657,80,HOLD
2023-01-10,TSLA,Tesla Inc.,Consumer Discretionary,245.39,253.92,245.27,250.98,247.22,5764083,0.778,780,72.3,0.0,0.82,27.88,0.807,62,STRONG_BUY
2023-01-10,XOM,Exxon Mobil Corp.,Energy,106.07,106.67,104.67,104.89,103.32,6262542,-1.093,440,12.2,3.65,0.76,19.63,0.367,58,BUY
2023-01-11,AAPL,Apple Inc.,Technology,170.36,171.94,166.39,167.8,165.28,7062738,-1.178,2800,29.5,0.55,1.25,56.64,0.494,78,HOLD
2023-01-11,AMZN,Amazon.com Inc.,Consumer Discretionary,143.67,148.05,141.72,142.11,139.98,3260514,-1.799,1850,42.0,0.0,0.74,60.55,0.819,65,HOLD
2023-01-11,BAC,Bank of America Corp.,Financials,31.89,31.97,31.32,31.65,31.18,2872866,-1.25,270,10.4,2.9,0.81,42.81,0.584,69,BUY
2023-01-11,JNJ,Johnson & Johnson,Healthcare,162.48,163.81,160.65,163.22,160.77,4522947,0.442,410,15.6,3.1,0.92,43.73,0.812,82,BUY
2023-01-11,JPM,JPMorgan Chase & Co.,Financials,159.05,161.68,158.44,161.06,158.65,6692824,0.38,540,11.8,2.45,0.78,28.35,0.411,71,BUY
2023-01-11,MSFT,Microsoft Corp.,Technology,344.46,348.54,340.45,340.95,335.83,3978566,-0.834,2600,33.2,0.72,0.95,53.67,0.654,85,HOLD
2023-01-11,NVDA,NVIDIA Corp.,Technology,425.41,425.68,411.82,412.71,406.52,11168509,-3.213,2100,65.4,0.08,0.9,67.14,0.808,74,HOLD
2023-01-11,PFE,Pfizer Inc.,Healthcare,29.41,29.74,28.08,28.14,27.72,1239075,-3.288,170,14.1,5.4,0.92,31.79,0.602,80,BUY
2023-01-11,TSLA,Tesla Inc.,Consumer Discretionary,251.9,260.92,250.13,258.96,255.08,9022274,3.179,780,72.3,0.0,0.98,50.86,0.483,62,HOLD
2023-01-11,XOM,Exxon Mobil Corp.,Energy,104.74,105.07,103.88,104.16,102.6,1605754,-0.696,440,12.2,3.65,0.66,60.86,0.737,58,HOLD
2023-01-12,AAPL,Apple Inc.,Technology,167.43,169.2,165.98,167.33,164.82,12921783,-0.28,2800,29.5,0.55,1.09,37.47,0.603,78,BUY
2023-01-12,AMZN,Amazon.com Inc.,Consumer Discretionary,141.57,144.18,140.01,143.14,140.99,710431,0.72,1850,42.0,0.0,1.07,64.13,0.316,65,HOLD
2023-01-12,BAC,Bank of America Corp.,Financials,31.87,32.14,31.45,31.57,31.09,4916308,-0.266,270,10.4,2.9,0.71,54.45,0.567,69,HOLD
2023-01-12,JNJ,Johnson & Johnson,Healthcare,162.82,163.45,161.49,161.81,159.38,3613584,-0.867,410,15.6,3.1,0.87,42.6,0.489,82,BUY
2023-01-12,JPM,JPMorgan Chase & Co.,Financials,160.93,162.37,160.01,162.37,159.93,5656518,0.811,540,11.8,2.45,0.77,51.58,0.395,71,HOLD
2023-01-12,MSFT,Microsoft Corp.,Technology,340.88,344.07,332.27,334.58,329.56,776224,-1.869,2600,33.2,0.72,0.76,39.75,0.47,85,BUY
2023-01-12,NVDA,NVIDIA Corp.,Technology,415.2,437.88,401.78,430.5,424.05,13383661,4.312,2100,65.4,0.08,1.36,74.88,0.61,74,SELL
2023-01-12,PFE,Pfizer Inc.,Healthcare,28.28,28.71,27.93,28.7,28.27,4712639,2.012,170,14.1,5.4,0.75,39.95,0.758,80,BUY
2023-01-12,TSLA,Tesla Inc.,Consumer Discretionary,257.58,268.43,255.66,264.59,260.62,7959849,2.173,780,72.3,0.0,0.98,41.63,0.753,62,BUY
2023-01-12,XOM,Exxon Mobil Corp.,Energy,103.17,109.24,103.09,107.27,105.67,6676233,2.99,440,12.2,3.65,0.78,51.54,0.67,58,HOLD
2023-01-13,AAPL,Apple Inc.,Technology,168.72,168.77,166.11,168.48,165.96,830892,0.691,2800,29.5,0.55,1.06,53.22,0.698,78,HOLD
2023-01-13,AMZN,Amazon.com Inc.,Consumer Discretionary,144.11,145.15,137.17,140.04,137.94,8513906,-2.162,1850,42.0,0.0,0.8,45.52,0.622,65,HOLD
2023-01-13,BAC,Bank of America Corp.,Financials,31.56,31.82,31.51,31.69,31.21,4665823,0.377,270,10.4,2.9,0.81,44.46,0.236,69,BUY
2023-01-13,JNJ,Johnson & Johnson,Healthcare,161.78,162.76,159.57,161.16,158.75,2805106,-0.397,410,15.6,3.1,1.12,38.3,0.43,82,BUY
2023-01-13,JPM,JPMorgan Chase & Co.,Financials,162.61,167.17,162.58,166.17,163.68,4025223,2.341,540,11.8,2.45,0.94,32.86,0.635,71,BUY
2023-01-13,MSFT,Microsoft Corp.,Technology,336.25,337.88,326.29,331.13,326.16,4949096,-1.031,2600,33.2,0.72,1.01,82.2,0.462,85,SELL
2023-01-13,NVDA,NVIDIA Corp.,Technology,436.97,442.69,415.39,425.83,419.45,11749524,-1.085,2100,65.4,0.08,0.78,57.15,0.298,74,HOLD
2023-01-13,PFE,Pfizer Inc.,Healthcare,28.97,29.31,28.51,29.3,28.86,4127840,2.068,170,14.1,5.4,1.1,43.17,0.482,80,BUY
2023-01-13,TSLA,Tesla Inc.,Consumer Discretionary,259.0,268.88,258.46,266.54,262.54,13971238,0.735,780,72.3,0.0,1.02,49.15,0.429,62,HOLD
2023-01-13,XOM,Exxon Mobil Corp.,Energy,106.47,107.97,105.74,107.83,106.22,2454738,0.522,440,12.2,3.65,0.98,62.83,0.597,58,HOLD
2023-01-16,AAPL,Apple Inc.,Technology,168.5,172.11,166.23,171.29,168.72,7237595,1.666,2800,29.5,0.55,1.04,49.03,0.684,78,HOLD
2023-01-16,AMZN,Amazon.com Inc.,Consumer Discretionary,140.65,142.17,138.57,141.43,139.31,14833242,0.988,1850,42.0,0.0,0.86,79.18,0.556,65,SELL
2023-01-16,BAC,Bank of America Corp.,Financials,31.66,32.63,31.39,32.36,31.87,3584119,2.123,270,10.4,2.9,0.75,64.77,0.496,69,HOLD
2023-01-16,JNJ,Johnson & Johnson,Healthcare,162.13,162.92,161.16,162.33,159.9,4485376,0.725,410,15.6,3.1,0.84,61.12,0.427,82,HOLD
2023-01-16,JPM,JPMorgan Chase & Co.,Financials,166.08,166.91,163.76,164.47,162.0,6205545,-1.025,540,11.8,2.45,0.75,53.65,0.555,71,HOLD
2023-01-16,MSFT,Microsoft Corp.,Technology,332.4,334.43,331.95,332.73,327.73,2332193,0.482,2600,33.2,0.72,1.36,53.24,0.561,85,HOLD
2023-01-16,NVDA,NVIDIA Corp.,Technology,428.08,446.13,417.14,441.25,434.63,9768498,3.619,2100,65.4,0.08,1.28,68.65,0.432,74,HOLD
2023-01-16,PFE,Pfizer Inc.,Healthcare,29.21,29.29,28.77,29.0,28.56,4413270,-1.027,170,14.1,5.4,0.59,70.74,0.606,80,SELL
2023-01-16,TSLA,Tesla Inc.,Consumer Discretionary,267.14,274.06,263.4,270.01,265.96,9102511,1.305,780,72.3,0.0,0.89,68.94,0.709,62,HOLD
2023-01-16,XOM,Exxon Mobil Corp.,Energy,108.44,110.36,106.43,108.92,107.29,4022112,1.008,440,12.2,3.65,0.92,34.84,0.452,58,BUY
2023-01-17,AAPL,Apple Inc.,Technology,171.59,175.01,170.8,174.18,171.57,10339771,1.688,2800,29.5,0.55,1.05,42.17,0.724,78,BUY
2023-01-17,AMZN,Amazon.com Inc.,Consumer Discretionary,141.81,144.85,135.11,136.61,134.56,7340692,-3.407,1850,42.0,0.0,0.69,53.82,0.422,65,HOLD
2023-01-17,BAC,Bank of America Corp.,Financials,32.49,32.78,32.06,32.18,31.7,1617336,-0.55,270,10.4,2.9,1.1,47.39,0.449,69,HOLD
2023-01-17,JNJ,Johnson & Johnson,Healthcare,163.16,163.26,159.87,160.13,157.73,5166420,-1.356,410,15.6,3.1,0.44,64.1,0.437,82,HOLD
2023-01-17,JPM,JPMorgan Chase & Co.,Financials,164.07,164.9,163.27,164.35,161.88,3275230,-0.071,540,11.8,2.45,0.64,82.38,0.534,71,SELL
2023-01-17,MSFT,Microsoft Corp.,Technology,333.02,336.61,328.34,330.91,325.95,5680579,-0.545,2600,33.2,0.72,1.18,37.34,0.432,85,BUY
2023-01-17,NVDA,NVIDIA Corp.,Technology,441.26,476.73,431.79,469.13,462.1,7401305,6.32,2100,65.4,0.08,1.35,69.23,0.463,74,HOLD
2023-01-17,PFE,Pfizer Inc.,Healthcare,28.93,28.95,28.65,28.72,28.29,2616987,-0.942,170,14.1,5.4,0.59,53.2,0.68,80,HOLD
2023-01-17,TSLA,Tesla Inc.,Consumer Discretionary,274.18,281.07,272.69,274.81,270.69,14549549,1.777,780,72.3,0.0,1.12,65.03,0.421,62,HOLD
2023-01-17,XOM,Exxon Mobil Corp.,Energy,110.27,110.69,107.02,107.95,106.33,3473700,-0.894,440,12.2,3.65,0.76,63.08,0.597,58,HOLD
2023-01-18,AAPL,Apple Inc.,Technology,173.91,182.5,173.37,178.24,175.57,8615692,2.333,2800,29.5,0.55,1.08,58.34,0.498,78,HOLD
2023-01-18,AMZN,Amazon.com Inc.,Consumer Discretionary,137.54,140.15,132.39,133.12,131.12,13119515,-2.556,1850,42.0,0.0,1.13,28.81,0.77,65,STRONG_BUY
2023-01-18,BAC,Bank of America Corp.,Financials,32.1,32.28,31.12,32.11,31.62,5591058,-0.23,270,10.4,2.9,0.9,57.71,0.386,69,HOLD
2023-01-18,JNJ,Johnson & Johnson,Healthcare,159.22,159.5,159.14,159.41,157.02,3300540,-0.452,410,15.6,3.1,1.04,70.41,0.594,82,SELL
2023-01-18,JPM,JPMorgan Chase & Co.,Financials,163.57,163.89,160.65,161.57,159.15,4304383,-1.689,540,11.8,2.45,1.0,55.93,0.491,71,HOLD
2023-01-18,MSFT,Microsoft Corp.,Technology,329.79,334.62,327.47,332.54,327.55,4849983,0.492,2600,33.2,0.72,1.02,34.46,0.786,85,BUY
2023-01-18,NVDA,NVIDIA Corp.,Technology,477.33,484.61,459.84,463.35,456.4,11830776,-1.233,2100,65.4,0.08,1.17,63.85,0.79,74,HOLD
2023-01-18,PFE,Pfizer Inc.,Healthcare,28.63,28.82,28.51,28.51,28.08,2882044,-0.744,170,14.1,5.4,0.81,58.43,0.59,80,HOLD
2023-01-18,TSLA,Tesla Inc.,Consumer Discretionary,276.68,282.89,269.1,270.11,266.06,4829277,-1.71,780,72.3,0.0,0.54,47.02,0.652,62,HOLD
2023-01-18,XOM,Exxon Mobil Corp.,Energy,107.52,111.84,106.86,111.48,109.8,4028173,3.268,440,12.2,3.65,0.97,36.28,0.284,58,BUY
2023-01-19,AAPL,Apple Inc.,Technology,178.41,184.8,178.29,184.37,181.6,3284300,3.435,2800,29.5,0.55,1.47,52.84,0.545,78,HOLD
2023-01-19,AMZN,Amazon.com Inc.,Consumer Discretionary,133.04,136.52,130.79,136.33,134.28,9003237,2.412,1850,42.0,0.0,0.69,45.51,0.37,65,HOLD
2023-01-19,BAC,Bank of America Corp.,Financials,32.25,32.7,31.58,31.82,31.35,1470142,-0.877,270,10.4,2.9,0.87,51.35,0.501,69,HOLD
2023-01-19,JNJ,Johnson & Johnson,Healthcare,159.82,161.14,159.03,161.11,158.7,3085869,1.07,410,15.6,3.1,0.89,47.59,0.451,82,HOLD
2023-01-19,JPM,JPMorgan Chase & Co.,Financials,160.61,164.91,157.42,163.59,161.13,2866866,1.247,540,11.8,2.45,0.82,59.24,0.722,71,HOLD
2023-01-19,MSFT,Microsoft Corp.,Technology,333.43,340.98,327.66,339.74,334.65,3099074,2.165,2600,33.2,0.72,1.14,52.8,0.717,85,HOLD
2023-01-19,NVDA,NVIDIA Corp.,Technology,465.83,484.69,461.98,464.18,457.22,10844626,0.179,2100,65.4,0.08,1.07,57.41,0.343,74,HOLD
2023-01-19,PFE,Pfizer Inc.,Healthcare,28.51,29.39,28.31,29.04,28.6,3009584,1.854,170,14.1,5.4,0.72,56.58,0.948,80,HOLD
2023-01-19,TSLA,Tesla Inc.,Consumer Discretionary,268.27,278.58,267.2,273.03,268.94,7242971,1.08,780,72.3,0.0,0.9,79.49,0.591,62,SELL
2023-01-19,XOM,Exxon Mobil Corp.,Energy,110.71,112.05,107.11,109.77,108.13,3436765,-1.527,440,12.2,3.65,0.78,40.36,0.011,58,BUY
2023-01-20,AAPL,Apple Inc.,Technology,184.11,186.99,183.41,186.03,183.24,11189373,0.9,2800,29.5,0.55,0.93,62.74,0.549,78,HOLD
2023-01-20,AMZN,Amazon.com Inc.,Consumer Discretionary,135.81,138.14,134.86,137.4,135.34,19530912,0.788,1850,42.0,0.0,0.73,62.01,0.659,65,HOLD
2023-01-20,BAC,Bank of America Corp.,Financials,31.83,31.9,31.38,31.46,30.99,606189,-1.133,270,10.4,2.9,0.97,61.0,0.317,69,HOLD
2023-01-20,JNJ,Johnson & Johnson,Healthcare,161.22,161.87,157.41,158.96,156.58,2443510,-1.335,410,15.6,3.1,0.88,62.84,0.376,82,HOLD
2023-01-20,JPM,JPMorgan Chase & Co.,Financials,163.57,166.73,161.04,165.65,163.17,2921463,1.263,540,11.8,2.45,1.02,54.7,0.329,71,HOLD
2023-01-20,MSFT,Microsoft Corp.,Technology,340.71,346.28,339.73,343.93,338.77,4779549,1.233,2600,33.2,0.72,0.91,43.67,0.512,85,BUY
2023-01-20,NVDA,NVIDIA Corp.,Technology,469.14,475.2,437.49,438.54,431.96,13260499,-5.525,2100,65.4,0.08,1.22,56.65,0.597,74,HOLD
2023-01-20,PFE,Pfizer Inc.,Healthcare,29.05,29.22,28.83,28.84,28.41,6301735,-0.686,170,14.1,5.4,0.95,61.49,0.307,80,HOLD
2023-01-20,TSLA,Tesla Inc.,Consumer Discretionary,272.42,287.61,268.58,284.78,280.51,16157258,4.303,780,72.3,0.0,0.82,61.15,0.469,62,HOLD
2023-01-20,XOM,Exxon Mobil Corp.,Energy,108.95,111.14,108.46,110.56,108.9,4410642,0.713,440,12.2,3.65,0.83,55.32,0.467,58,HOLD
2023-01-23,AAPL,Apple Inc.,Technology,185.11,191.13,182.78,188.75,185.92,12053999,1.464,2800,29.5,0.55,1.02,38.13,0.944,78,BUY
2023-01-23,AMZN,Amazon.com Inc.,Consumer Discretionary,137.95,140.28,137.48,138.14,136.07,7989296,0.536,1850,42.0,0.0,0.82,59.13,0.707,65,HOLD
2023-01-23,BAC,Bank of America Corp.,Financials,31.28,31.57,30.79,30.81,30.35,4604284,-2.072,270,10.4,2.9,0.51,88.01,0.683,69,SELL
2023-01-23,JNJ,Johnson & Johnson,Healthcare,158.4,160.81,157.41,159.94,157.54,2418210,0.613,410,15.6,3.1,0.83,68.68,0.402,82,HOLD
2023-01-23,JPM,JPMorgan Chase & Co.,Financials,165.93,166.78,165.27,165.48,163.0,4644380,-0.106,540,11.8,2.45,0.88,37.72,0.585,71,BUY
2023-01-23,MSFT,Microsoft Corp.,Technology,342.11,356.01,341.35,355.38,350.05,4430369,3.33,2600,33.2,0.72,1.01,64.05,0.697,85,HOLD
2023-01-23,NVDA,NVIDIA Corp.,Technology,435.15,453.96,430.75,447.55,440.83,10886078,2.054,2100,65.4,0.08,1.17,51.53,0.698,74,HOLD
2023-01-23,PFE,Pfizer Inc.,Healthcare,28.97,29.04,28.62,28.71,28.28,3841012,-0.429,170,14.1,5.4,1.05,46.72,0.54,80,HOLD
2023-01-23,TSLA,Tesla Inc.,Consumer Discretionary,281.9,304.25,275.59,300.41,295.91,14915106,5.489,780,72.3,0.0,0.59,65.29,0.594,62,HOLD
2023-01-23,XOM,Exxon Mobil Corp.,Energy,109.93,110.79,108.03,108.07,106.45,4109040,-2.245,440,12.2,3.65,0.44,57.39,0.828,58,HOLD
2023-01-24,AAPL,Apple Inc.,Technology,189.64,194.64,189.02,194.62,191.7,12271803,3.112,2800,29.5,0.55,0.96,59.51,0.33,78,HOLD
2023-01-24,AMZN,Amazon.com Inc.,Consumer Discretionary,137.61,138.95,136.59,138.02,135.95,10229261,-0.087,1850,42.0,0.0,0.72,54.71,0.699,65,HOLD
2023-01-24,BAC,Bank of America Corp.,Financials,30.9,31.07,30.27,30.55,30.09,4961279,-0.851,270,10.4,2.9,0.72,52.35,0.523,69,HOLD
2023-01-24,JNJ,Johnson & Johnson,Healthcare,159.8,160.87,155.88,157.96,155.59,3935514,-1.236,410,15.6,3.1,1.01,61.59,0.479,82,HOLD
2023-01-24,JPM,JPMorgan Chase & Co.,Financials,166.47,166.85,163.42,164.38,161.92,4350413,-0.662,540,11.8,2.45,0.73,46.45,0.696,71,HOLD
2023-01-24,MSFT,Microsoft Corp.,Technology,354.0,363.79,353.6,360.29,354.89,5244038,1.38,2600,33.2,0.72,1.18,37.46,0.682,85,BUY
2023-01-24,NVDA,NVIDIA Corp.,Technology,445.46,447.91,442.92,445.11,438.44,7668005,-0.544,2100,65.4,0.08,0.99,42.77,0.518,74,BUY
2023-01-24,PFE,Pfizer Inc.,Healthcare,28.69,28.9,28.42,28.86,28.43,3275518,0.507,170,14.1,5.4,0.82,62.57,0.971,80,HOLD
2023-01-24,TSLA,Tesla Inc.,Consumer Discretionary,308.73,309.47,280.91,282.1,277.87,7884986,-6.094,780,72.3,0.0,0.8,44.6,0.268,62,BUY
2023-01-24,XOM,Exxon Mobil Corp.,Energy,108.1,109.1,107.71,108.9,107.27,2875548,0.765,440,12.2,3.65,0.78,68.22,0.402,58,HOLD
2023-01-25,AAPL,Apple Inc.,Technology,194.29,195.71,189.83,191.96,189.08,10796109,-1.37,2800,29.5,0.55,1.13,29.5,0.785,78,STRONG_BUY
