Transaction_ID,Date,Region,Account_Type,Transaction_Type,Category,Amount,Payment_Method,Status,Currency,Month,Day_of_Week
TXN00040,2024-01-29,Northern,Personal,Income,Salary,6562.41,Mobile Money,Completed,GHS,2024-01,Monday
TXN00041,2024-01-30,Western,Personal,Income,Business,1840.5,Bank Transfer,Completed,GHS,2024-01,Tuesday
TXN00042,2024-01-30,Ashanti,Business,Expense,Entertainment,400.39,Debit Card,Completed,GHS,2024-01,Tuesday
TXN00043,2024-01-31,Eastern,Business,Income,Salary,3528.52,Mobile Money,Pending,GHS,2024-01,Wednesday
TXN00044,2024-02-01,Northern,Personal,Income,Salary,6683.76,Bank Transfer,Failed,GHS,2024-02,Thursday
TXN00045,2024-02-02,Ashanti,Business,Expense,Shopping,487.94,Mobile Money,Pending,GHS,2024-02,Friday
TXN00046,2024-02-02,Eastern,Personal,Expense,Shopping,525.2,Bank Transfer,Failed,GHS,2024-02,Friday
TXN00047,2024-02-03,Eastern,Personal,Expense,Utilities,519.71,Cash,Completed,GHS,2024-02,Saturday
TXN00048,2024-02-04,Eastern,Personal,Expense,Education,614.58,Bank Transfer,Completed,GHS,2024-02,Sunday
TXN00049,2024-02-05,Central,Personal,Expense,Shopping,1267.95,Cash,Completed,GHS,2024-02,Monday
TXN00050,2024-02-05,Central,Personal,Income,Salary,4505.76,Cash,Failed,GHS,2024-02,Monday
TXN00051,2024-02-06,Western,Business,Expense,Utilities,248.64,Bank Transfer,Pending,GHS,2024-02,Tuesday
TXN00052,2024-02-07,Eastern,Personal,Income,Salary,8205.03,Bank Transfer,Completed,GHS,2024-02,Wednesday
TXN00053,2024-02-07,Northern,Personal,Expense,Utilities,203.92,Bank Transfer,Failed,GHS,2024-02,Wednesday
TXN00054,2024-02-08,Western,Personal,Expense,Transport,37.19,Cash,Failed,GHS,2024-02,Thursday
TXN00055,2024-02-09,Ashanti,Personal,Expense,Healthcare,1418.64,Mobile Money,Completed,GHS,2024-02,Friday
TXN00056,2024-02-10,Greater Accra,Personal,Expense,Entertainment,414.16,Mobile Money,Failed,GHS,2024-02,Saturday
TXN00057,2024-02-10,Western,Personal,Expense,Shopping,1190.1,Bank Transfer,Completed,GHS,2024-02,Saturday
TXN00058,2024-02-11,Ashanti,Personal,Expense,Healthcare,538.0,Debit Card,Completed,GHS,2024-02,Sunday
TXN00059,2024-02-12,Ashanti,Personal,Expense,Transport,263.14,Mobile Money,Failed,GHS,2024-02,Monday
TXN00060,2024-02-13,Eastern,Personal,Expense,Utilities,680.55,Debit Card,Completed,GHS,2024-02,Tuesday
TXN00061,2024-02-13,Northern,Personal,Expense,Utilities,323.21,Bank Transfer,Failed,GHS,2024-02,Tuesday
TXN00062,2024-02-14,Greater Accra,Personal,Expense,Food,351.96,Debit Card,Failed,GHS,2024-02,Wednesday
TXN00063,2024-02-15,Greater Accra,Business,Expense,Transport,35.09,Mobile Money,Pending,GHS,2024-02,Thursday
TXN00064,2024-02-16,Central,Personal,Income,Business,4440.63,Mobile Money,Pending,GHS,2024-02,Friday
TXN00065,2024-02-16,Greater Accra,Personal,Expense,Education,1604.0,Cash,Completed,GHS,2024-02,Friday
TXN00066,2024-02-17,Central,Personal,Expense,Rent,1771.37,Bank Transfer,Pending,GHS,2024-02,Saturday
TXN00067,2024-02-18,Northern,Personal,Expense,Shopping,1567.02,Debit Card,Completed,GHS,2024-02,Sunday
TXN00068,2024-02-18,Central,Personal,Expense,Shopping,306.56,Cash,Failed,GHS,2024-02,Sunday
TXN00069,2024-02-19,Greater Accra,Personal,Expense,Shopping,1707.69,Mobile Money,Pending,GHS,2024-02,Monday
TXN00070,2024-02-20,Western,Personal,Expense,Education,1160.97,Bank Transfer,Completed,GHS,2024-02,Tuesday
TXN00071,2024-02-21,Eastern,Personal,Expense,Utilities,442.88,Bank Transfer,Completed,GHS,2024-02,Wednesday
TXN00072,2024-02-21,Greater Accra,Personal,Expense,Entertainment,189.13,Bank Transfer,Completed,GHS,2024-02,Wednesday
TXN00073,2024-02-22,Central,Personal,Income,Business,1072.93,Cash,Failed,GHS,2024-02,Thursday
TXN00074,2024-02-23,Eastern,Personal,Income,Salary,6546.2,Bank Transfer,Completed,GHS,2024-02,Friday
TXN00075,2024-02-24,Northern,Personal,Expense,Utilities,476.53,Debit Card,Completed,GHS,2024-02,Saturday
TXN00076,2024-02-24,Eastern,Personal,Income,Business,6341.58,Bank Transfer,Completed,GHS,2024-02,Saturday
TXN00077,2024-02-25,Ashanti,Personal,Expense,Utilities,312.01,Mobile Money,Pending,GHS,2024-02,Sunday
TXN00078,2024-02-26,Greater Accra,Personal,Expense,Entertainment,389.18,Mobile Money,Failed,GHS,2024-02,Monday
TXN00079,2024-02-26,Western,Personal,Income,Salary,8672.93,Mobile Money,Completed,GHS,2024-02,Monday
TXN00080,2024-02-27,Central,Personal,Expense,Shopping,1015.28,Mobile Money,Completed,GHS,2024-02,Tuesday
TXN00081,2024-02-28,Ashanti,Personal,Income,Business,3260.43,Cash,Completed,GHS,2024-02,Wednesday
TXN00082,2024-02-29,Greater Accra,Personal,Income,Salary,3702.52,Bank Transfer,Pending,GHS,2024-02,Thursday
TXN00083,2024-02-29,Central,Personal,Income,Business,6979.82,Debit Card,Completed,GHS,2024-02,Thursday
TXN00084,2024-03-01,Northern,Personal,Expense,Food,404.39,Bank Transfer,Pending,GHS,2024-03,Friday
TXN00085,2024-03-02,Eastern,Personal,Expense,Entertainment,444.15,Bank Transfer,Completed,GHS,2024-03,Saturday
TXN00086,2024-03-03,Eastern,Business,Expense,Education,1088.31,Cash,Completed,GHS,2024-03,Sunday
TXN00087,2024-03-03,Central,Personal,Income,Salary,3658.3,Debit Card,Completed,GHS,2024-03,Sunday
TXN00088,2024-03-04,Ashanti,Personal,Expense,Healthcare,1471.67,Mobile Money,Completed,GHS,2024-03,Monday
TXN00089,2024-03-05,Greater Accra,Business,Expense,Education,1140.15,Mobile Money,Completed,GHS,2024-03,Tuesday
TXN00090,2024-03-06,Greater Accra,Personal,Income,Business,1882.44,Bank Transfer,Failed,GHS,2024-03,Wednesday
TXN00091,2024-03-06,Western,Personal,Expense,Rent,1523.25,Bank Transfer,Completed,GHS,2024-03,Wednesday
TXN00092,2024-03-07,Eastern,Personal,Expense,Healthcare,630.44,Bank Transfer,Completed,GHS,2024-03,Thursday
TXN00093,2024-03-08,Central,Personal,Expense,Rent,2940.84,Bank Transfer,Failed,GHS,2024-03,Friday
TXN00094,2024-03-08,Northern,Personal,Expense,Transport,44.95,Mobile Money,Completed,GHS,2024-03,Friday
TXN00095,2024-03-09,Western,Personal,Income,Salary,5315.55,Debit Card,Completed,GHS,2024-03,Saturday
TXN00096,2024-03-10,Central,Personal,Expense,Rent,1145.35,Cash,Completed,GHS,2024-03,Sunday
TXN00097,2024-03-11,Northern,Personal,Income,Business,4219.54,Debit Card,Completed,GHS,2024-03,Monday
TXN00098,2024-03-11,Western,Business,Income,Salary,4888.4,Mobile Money,Pending,GHS,2024-03,Monday
TXN00099,2024-03-12,Greater Accra,Personal,Expense,Utilities,419.57,Bank Transfer,Completed,GHS,2024-03,Tuesday
TXN00100,2024-03-13,Greater Accra,Business,Income,Salary,6444.35,Mobile Money,Pending,GHS,2024-03,Wednesday
TXN00101,2024-03-14,Eastern,Personal,Expense,Entertainment,351.32,Mobile Money,Completed,GHS,2024-03,Thursday
TXN00102,2024-03-14,Eastern,Personal,Expense,Transport,188.6,Mobile Money,Completed,GHS,2024-03,Thursday
TXN00103,2024-03-15,Northern,Personal,Expense,Healthcare,393.98,Mobile Money,Pending,GHS,2024-03,Friday
TXN00104,2024-03-16,Greater Accra,Personal,Income,Salary,7932.26,Mobile Money,Failed,GHS,2024-03,Saturday
TXN00105,2024-03-16,Eastern,Business,Income,Salary,5688.21,Bank Transfer,Completed,GHS,2024-03,Saturday
TXN00106,2024-03-17,Ashanti,Personal,Expense,Education,1659.64,Mobile Money,Completed,GHS,2024-03,Sunday
TXN00107,2024-03-18,Eastern,Personal,Expense,Food,776.96,Mobile Money,Completed,GHS,2024-03,Monday
TXN00108,2024-03-19,Northern,Personal,Expense,Entertainment,544.41,Bank Transfer,Pending,GHS,2024-03,Tuesday
TXN00109,2024-03-19,Ashanti,Personal,Expense,Healthcare,585.38,Mobile Money,Completed,GHS,2024-03,Tuesday
TXN00110,2024-03-20,Central,Personal,Expense,Shopping,495.62,Bank Transfer,Completed,GHS,2024-03,Wednesday
TXN00111,2024-03-21,Eastern,Personal,Income,Business,5983.72,Cash,Completed,GHS,2024-03,Thursday
TXN00112,2024-03-22,Northern,Personal,Expense,Food,127.88,Debit Card,Completed,GHS,2024-03,Friday
TXN00113,2024-03-22,Central,Personal,Expense,Food,197.83,Bank Transfer,Completed,GHS,2024-03,Friday
TXN00114,2024-03-23,Ashanti,Business,Expense,Transport,306.5,Mobile Money,Completed,GHS,2024-03,Saturday
TXN00115,2024-03-24,Greater Accra,Personal,Expense,Rent,1765.24,Cash,Completed,GHS,2024-03,Sunday
TXN00116,2024-03-25,Western,Personal,Income,Business,4745.43,Bank Transfer,Completed,GHS,2024-03,Monday
TXN00117,2024-03-25,Central,Personal,Income,Salary,7867.14,Debit Card,Completed,GHS,2024-03,Monday
TXN00118,2024-03-26,Central,Business,Income,Salary,5214.47,Bank Transfer,Pending,GHS,2024-03,Tuesday
TXN00119,2024-03-27,Greater Accra,Personal,Expense,Education,1765.85,Mobile Money,Pending,GHS,2024-03,Wednesday
TXN00120,2024-03-27,Central,Personal,Expense,Healthcare,778.32,Mobile Money,Failed,GHS,2024-03,Wednesday
TXN00121,2024-03-28,Eastern,Personal,Expense,Entertainment,494.95,Mobile Money,Pending,GHS,2024-03,Thursday
TXN00122,2024-03-29,Ashanti,Business,Income,Business,4500.35,Bank Transfer,Failed,GHS,2024-03,Friday
TXN00123,2024-03-30,Eastern,Personal,Income,Salary,4908.09,Bank Transfer,Pending,GHS,2024-03,Saturday
TXN00124,2024-03-30,Greater Accra,Personal,Income,Salary,7082.52,Mobile Money,Completed,GHS,2024-03,Saturday
TXN00125,2024-03-31,Greater Accra,Personal,Income,Business,6553.41,Cash,Pending,GHS,2024-03,Sunday
TXN00126,2024-04-01,Western,Personal,Income,Business,6219.38,Mobile Money,Completed,GHS,2024-04,Monday
TXN00127,2024-04-02,Ashanti,Personal,Expense,Food,647.21,Mobile Money,Completed,GHS,2024-04,Tuesday
TXN00128,2024-04-02,Western,Personal,Income,Business,3794.2,Mobile Money,Completed,GHS,2024-04,Tuesday
TXN00129,2024-04-03,Greater Accra,Personal,Income,Business,2489.36,Mobile Money,Completed,GHS,2024-04,Wednesday
TXN00130,2024-04-04,Eastern,Personal,Expense,Healthcare,966.78,Mobile Money,Completed,GHS,2024-04,Thursday
TXN00131,2024-04-04,Eastern,Personal,Income,Salary,5780.43,Bank Transfer,Completed,GHS,2024-04,Thursday
TXN00132,2024-04-05,Western,Personal,Expense,Utilities,356.07,Mobile Money,Completed,GHS,2024-04,Friday
TXN00133,2024-04-06,Ashanti,Personal,Expense,Utilities,438.9,Debit Card,Completed,GHS,2024-04,Saturday
TXN00134,2024-04-07,Northern,Business,Expense,Utilities,340.46,Bank Transfer,Failed,GHS,2024-04,Sunday
TXN00135,2024-04-07,Western,Personal,Expense,Education,617.37,Mobile Money,Pending,GHS,2024-04,Sunday
TXN00136,2024-04-08,Greater Accra,Personal,Expense,Shopping,763.97,Bank Transfer,Completed,GHS,2024-04,Monday
TXN00137,2024-04-09,Central,Personal,Expense,Healthcare,541.94,Debit Card,Completed,GHS,2024-04,Tuesday
TXN00138,2024-04-10,Northern,Business,Income,Business,4619.18,Mobile Money,Failed,GHS,2024-04,Wednesday
TXN00139,2024-04-10,Ashanti,Personal,Expense,Utilities,294.39,Bank Transfer,Failed,GHS,2024-04,Wednesday
TXN00140,2024-04-11,Eastern,Personal,Expense,Food,499.79,Cash,Failed,GHS,2024-04,Thursday
TXN00141,2024-04-12,Eastern,Business,Expense,Food,353.38,Bank Transfer,Completed,GHS,2024-04,Friday
TXN00142,2024-04-13,Northern,Business,Expense,Transport,475.77,Bank Transfer,Completed,GHS,2024-04,Saturday
TXN00143,2024-04-13,Western,Personal,Expense,Education,907.91,Debit Card,Completed,GHS,2024-04,Saturday
TXN00144,2024-04-14,Western,Personal,Expense,Food,180.34,Bank Transfer,Failed,GHS,2024-04,Sunday
TXN00145,2024-04-15,Ashanti,Personal,Expense,Transport,38.64,Debit Card,Completed,GHS,2024-04,Monday
TXN00146,2024-04-15,Ashanti,Personal,Expense,Rent,2233.12,Bank Transfer,Failed,GHS,2024-04,Monday
TXN00147,2024-04-16,Ashanti,Personal,Expense,Transport,374.13,Debit Card,Completed,GHS,2024-04,Tuesday
TXN00148,2024-04-17,Ashanti,Personal,Expense,Utilities,329.88,Mobile Money,Completed,GHS,2024-04,Wednesday
TXN00149,2024-04-18,Central,Personal,Income,Salary,7740.42,Bank Transfer,Pending,GHS,2024-04,Thursday
TXN00150,2024-04-18,Ashanti,Personal,Expense,Transport,296.21,Cash,Failed,GHS,2024-04,Thursday
TXN00151,2024-04-19,Western,Personal,Expense,Transport,283.73,Bank Transfer,Completed,GHS,2024-04,Friday
TXN00152,2024-04-20,Central,Personal,Expense,Transport,392.33,Mobile Money,Completed,GHS,2024-04,Saturday
TXN00153,2024-04-21,Western,Business,Expense,Entertainment,321.33,Debit Card,Pending,GHS,2024-04,Sunday
TXN00154,2024-04-21,Central,Personal,Income,Salary,4067.02,Cash,Failed,GHS,2024-04,Sunday
TXN00155,2024-04-22,Eastern,Personal,Expense,Entertainment,379.27,Cash,Failed,GHS,2024-04,Monday
TXN00156,2024-04-23,Greater Accra,Business,Expense,Education,1310.74,Mobile Money,Completed,GHS,2024-04,Tuesday
TXN00157,2024-04-23,Ashanti,Personal,Income,Business,1236.56,Cash,Completed,GHS,2024-04,Tuesday
TXN00158,2024-04-24,Central,Personal,Income,Business,1203.68,Bank Transfer,Completed,GHS,2024-04,Wednesday
TXN00159,2024-04-25,Eastern,Business,Expense,Education,1515.62,Bank Transfer,Completed,GHS,2024-04,Thursday
TXN00160,2024-04-26,Eastern,Personal,Expense,Entertainment,274.35,Bank Transfer,Failed,GHS,2024-04,Friday
TXN00161,2024-04-26,Greater Accra,Personal,Expense,Utilities,342.69,Debit Card,Failed,GHS,2024-04,Friday
TXN00162,2024-04-27,Northern,Personal,Expense,Shopping,1127.76,Mobile Money,Completed,GHS,2024-04,Saturday
TXN00163,2024-04-28,Western,Personal,Expense,Shopping,975.64,Bank Transfer,Failed,GHS,2024-04,Sunday
TXN00164,2024-04-29,Greater Accra,Personal,Expense,Utilities,387.93,Bank Transfer,Completed,GHS,2024-04,Monday
TXN00165,2024-04-29,Central,Personal,Expense,Utilities,352.81,Bank Transfer,Failed,GHS,2024-04,Monday
TXN00166,2024-04-30,Northern,Personal,Expense,Transport,169.26,Bank Transfer,Failed,GHS,2024-04,Tuesday
TXN00167,2024-05-01,Eastern,Personal,Expense,Utilities,330.6,Cash,Failed,GHS,2024-05,Wednesday
TXN00168,2024-05-02,Northern,Personal,Expense,Healthcare,1474.38,Cash,Completed,GHS,2024-05,Thursday
TXN00169,2024-05-02,Eastern,Business,Income,Business,2390.03,Bank Transfer,Completed,GHS,2024-05,Thursday
TXN00170,2024-05-03,Ashanti,Personal,Expense,Food,207.1,Cash,Failed,GHS,2024-05,Friday
TXN00171,2024-05-04,Western,Personal,Income,Business,6302.72,Mobile Money,Completed,GHS,2024-05,Saturday
TXN00172,2024-05-04,Western,Business,Expense,Education,1422.44,Bank Transfer,Failed,GHS,2024-05,Saturday
TXN00173,2024-05-05,Ashanti,Personal,Expense,Healthcare,891.13,Mobile Money,Completed,GHS,2024-05,Sunday
TXN00174,2024-05-06,Eastern,Personal,Expense,Shopping,1722.39,Bank Transfer,Completed,GHS,2024-05,Monday
TXN00175,2024-05-07,Northern,Personal,Income,Salary,5746.49,Debit Card,Completed,GHS,2024-05,Tuesday
TXN00176,2024-05-07,Eastern,Personal,Income,Business,1656.81,Cash,Failed,GHS,2024-05,Tuesday
TXN00177,2024-05-08,Ashanti,Personal,Expense,Healthcare,1245.79,Cash,Completed,GHS,2024-05,Wednesday
TXN00178,2024-05-09,Greater Accra,Personal,Expense,Education,1351.06,Bank Transfer,Failed,GHS,2024-05,Thursday
TXN00179,2024-05-10,Western,Business,Expense,Entertainment,485.69,Bank Transfer,Completed,GHS,2024-05,Friday
TXN00180,2024-05-10,Ashanti,Personal,Expense,Utilities,627.44,Bank Transfer,Completed,GHS,2024-05,Friday
TXN00181,2024-05-11,Ashanti,Personal,Expense,Shopping,938.07,Mobile Money,Completed,GHS,2024-05,Saturday
TXN00182,2024-05-12,Central,Business,Income,Salary,5571.82,Bank Transfer,Completed,GHS,2024-05,Sunday
TXN00183,2024-05-12,Northern,Business,Expense,Shopping,736.26,Debit Card,Pending,GHS,2024-05,Sunday
TXN00184,2024-05-13,Greater Accra,Business,Income,Salary,5155.3,Debit Card,Completed,GHS,2024-05,Monday
TXN00185,2024-05-14,Northern,Business,Income,Salary,8188.28,Cash,Pending,GHS,2024-05,Tuesday
TXN00186,2024-05-15,Central,Personal,Expense,Healthcare,606.24,Bank Transfer,Completed,GHS,2024-05,Wednesday
TXN00187,2024-05-15,Ashanti,Business,Income,Salary,4374.16,Mobile Money,Failed,GHS,2024-05,Wednesday
TXN00188,2024-05-16,Western,Personal,Expense,Rent,2617.03,Bank Transfer,Pending,GHS,2024-05,Thursday
TXN00189,2024-05-17,Eastern,Personal,Expense,Transport,476.91,Debit Card,Failed,GHS,2024-05,Friday
TXN00190,2024-05-18,Western,Personal,Expense,Utilities,264.53,Bank Transfer,Completed,GHS,2024-05,Saturday
TXN00191,2024-05-18,Eastern,Personal,Income,Salary,7084.17,Mobile Money,Completed,GHS,2024-05,Saturday
TXN00192,2024-05-19,Central,Personal,Expense,Food,705.41,Mobile Money,Completed,GHS,2024-05,Sunday
TXN00193,2024-05-20,Central,Business,Expense,Healthcare,240.31,Cash,Pending,GHS,2024-05,Monday
TXN00194,2024-05-21,Greater Accra,Personal,Expense,Utilities,170.38,Bank Transfer,Completed,GHS,2024-05,Tuesday
TXN00195,2024-05-21,Northern,Personal,Expense,Rent,941.26,Mobile Money,Completed,GHS,2024-05,Tuesday
TXN00196,2024-05-22,Northern,Personal,Income,Salary,6055.29,Mobile Money,Completed,GHS,2024-05,Wednesday
TXN00197,2024-05-23,Western,Personal,Expense,Shopping,1414.74,Bank Transfer,Completed,GHS,2024-05,Thursday
TXN00198,2024-05-23,Northern,Personal,Expense,Healthcare,76.63,Debit Card,Completed,GHS,2024-05,Thursday
TXN00199,2024-05-24,Greater Accra,Personal,Income,Business,1434.5,Mobile Money,Completed,GHS,2024-05,Friday
TXN00200,2024-05-25,Northern,Personal,Expense,Transport,181.38,Debit Card,Completed,GHS,2024-05,Saturday
TXN00201,2024-05-26,Western,Personal,Income,Salary,7187.12,Cash,Completed,GHS,2024-05,Sunday
TXN00202,2024-05-26,Ashanti,Business,Income,Salary,6477.13,Cash,Pending,GHS,2024-05,Sunday
TXN00203,2024-05-27,Western,Business,Expense,Transport,412.97,Mobile Money,Completed,GHS,2024-05,Monday
TXN00204,2024-05-28,Eastern,Personal,Expense,Utilities,124.45,Bank Transfer,Pending,GHS,2024-05,Tuesday
TXN00205,2024-05-29,Ashanti,Personal,Income,Salary,8294.81,Mobile Money,Failed,GHS,2024-05,Wednesday
TXN00206,2024-05-29,Western,Personal,Expense,Education,1351.54,Bank Transfer,Completed,GHS,2024-05,Wednesday
TXN00207,2024-05-30,Western,Personal,Income,Business,6848.76,Mobile Money,Failed,GHS,2024-05,Thursday
TXN00208,2024-05-31,Eastern,Personal,Income,Salary,4917.26,Cash,Completed,GHS,2024-05,Friday
TXN00209,2024-05-31,Eastern,Business,Expense,Utilities,307.56,Mobile Money,Completed,GHS,2024-05,Friday
TXN00210,2024-06-01,Central,Personal,Expense,Healthcare,685.99,Mobile Money,Completed,GHS,2024-06,Saturday
TXN00211,2024-06-02,Ashanti,Business,Expense,Entertainment,694.73,Bank Transfer,Failed,GHS,2024-06,Sunday
TXN00212,2024-06-03,Ashanti,Personal,Expense,Shopping,462.64,Cash,Completed,GHS,2024-06,Monday
TXN00213,2024-06-03,Central,Personal,Income,Business,2085.86,Mobile Money,Pending,GHS,2024-06,Monday
TXN00214,2024-06-04,Eastern,Personal,Expense,Healthcare,890.15,Bank Transfer,Completed,GHS,2024-06,Tuesday
TXN00215,2024-06-05,Central,Personal,Expense,Utilities,614.79,Debit Card,Pending,GHS,2024-06,Wednesday
TXN00216,2024-06-06,Western,Personal,Expense,Utilities,241.63,Bank Transfer,Failed,GHS,2024-06,Thursday
TXN00217,2024-06-06,Eastern,Personal,Expense,Shopping,804.05,Cash,Completed,GHS,2024-06,Thursday
TXN00218,2024-06-07,Central,Personal,Income,Salary,3701.69,Mobile Money,Completed,GHS,2024-06,Friday
TXN00219,2024-06-08,Northern,Personal,Expense,Shopping,1074.37,Bank Transfer,Completed,GHS,2024-06,Saturday
TXN00220,2024-06-09,Ashanti,Personal,Income,Salary,4771.22,Bank Transfer,Failed,GHS,2024-06,Sunday
TXN00221,2024-06-09,Northern,Personal,Expense,Transport,268.4,Mobile Money,Completed,GHS,2024-06,Sunday
TXN00222,2024-06-10,Ashanti,Business,Income,Salary,8734.96,Mobile Money,Completed,GHS,2024-06,Monday
TXN00223,2024-06-11,Northern,Personal,Expense,Entertainment,123.57,Debit Card,Completed,GHS,2024-06,Tuesday
TXN00224,2024-06-11,Central,Personal,Income,Salary,4535.92,Cash,Completed,GHS,2024-06,Tuesday
TXN00225,2024-06-12,Northern,Personal,Income,Business,3245.78,Mobile Money,Completed,GHS,2024-06,Wednesday
TXN00226,2024-06-13,Greater Accra,Personal,Income,Business,5137.16,Cash,Failed,GHS,2024-06,Thursday
TXN00227,2024-06-14,Ashanti,Business,Expense,Healthcare,555.43,Bank Transfer,Completed,GHS,2024-06,Friday
TXN00228,2024-06-14,Central,Personal,Income,Business,5514.57,Debit Card,Pending,GHS,2024-06,Friday
TXN00229,2024-06-15,Western,Business,Expense,Education,1858.78,Debit Card,Completed,GHS,2024-06,Saturday
TXN00230,2024-06-16,Northern,Personal,Expense,Shopping,707.43,Bank Transfer,Completed,GHS,2024-06,Sunday
TXN00231,2024-06-17,Eastern,Personal,Expense,Utilities,517.28,Mobile Money,Completed,GHS,2024-06,Monday
TXN00232,2024-06-17,Northern,Personal,Income,Salary,6728.84,Debit Card,Completed,GHS,2024-06,Monday
TXN00233,2024-06-18,Northern,Business,Expense,Shopping,958.39,Debit Card,Completed,GHS,2024-06,Tuesday
TXN00234,2024-06-19,Eastern,Personal,Expense,Utilities,448.1,Mobile Money,Completed,GHS,2024-06,Wednesday
TXN00235,2024-06-19,Western,Personal,Expense,Rent,2609.27,Mobile Money,Pending,GHS,2024-06,Wednesday
TXN00236,2024-06-20,Eastern,Business,Expense,Entertainment,284.65,Mobile Money,Completed,GHS,2024-06,Thursday
